2016-06-22 19:16:02 1466594162763238974 [NOTIFY] state change to STOP
2016-06-22 19:17:53 1466594273580311173 [NOTIFY] state change to BACKUP
OK
2016-06-22 19:39:23 1466595563664033173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:28 1466595568664731973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:33 1466595573663594973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:38 1466595578663815092 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:43 1466595583664149298 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:48 1466595588663994774 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:53 1466595593664331974 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:58 1466595598664447583 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:03 1466595603667225370 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:08 1466595608664757477 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:13 1466595613665248873 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:18 1466595618664887173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:23 1466595623665023173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:28 1466595628665564073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:33 1466595633666203574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:38 1466595638666166674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:43 1466595643665817973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:48 1466595648665595574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:53 1466595653666134874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:40:58 1466595658666235673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:41:03 1466595663677855773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:41:06 1466595666701590074 [NOTIFY] state change to STOP
2016-06-22 19:47:26 1466596046539264574 [NOTIFY] state change to BACKUP
OK
2016-06-22 19:47:31 1466596051523810374 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:47:36 1466596056508979874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:47:41 1466596061509241747 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:47:46 1466596066509741539 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:47:51 1466596071509770073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:47:56 1466596076509947173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:48:01 1466596081510014934 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:48:06 1466596086515513343 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:48:11 1466596091510530390 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:48:16 1466596096510865463 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
